"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Eritrea","57.3 [36.6-79.5]","28.9 [18.5-40.3]","34.0 [21.7-47.5]","25.6 [13.9-40.9]","19.2 [12.3-26.9]","33.1 [21.1-46.2]","15.0 [9.4-21.3]","16.1 [10.2-23.4]","23.9 [15.2-33.3]","26.3 [16.7-37.2]","8.9 [5.8-12.5]","6.8 [4.2-9.5]","12.5 [8.0-17.7]","5.6 [3.4-7.9]","9.8 [5.7-14.9]","5.5 [2.8-9.6]","19.0 [8.5-33.4]","13.2 [4.8-25.4]","22.9 [8.0-45.5]","18.3 [6.1-38.0]"
"Eswatini","0.743","0.968","2.299","1.122","0.508","2.319","3.161","1.86","1.829","0.899","0.358","0.197","0.288","0.534","0.967","1.997","1.194","2.348","4.915","2.8 [1.2-5.0]"
"Ethiopia","34.3 [19.1-51.3]","37.6 [20.8-56.4]","48.2 [8.6-88.1]","55.2 [8.4-101.8]","72.2 [8.2-139.2]","80.2 [7.1-157.0]","161.9 [7.2-361.5]","168.6 [7.5-402.5]","168.5 [7.4-404.1]","185.8 [8.6-468.0]","170.7 [11.8-428.4]","121.2 [20.0-307.5]","158.0 [32.2-397.0]","185.6 [43.0-463.5]","195.5 [54.6-486.8]","276.9 [58.9-702.6]","219.1 [57.5-546.9]","175.1 [51.2-405.9]","180.7 [52.0-420.7]","157.3 [46.5-398.4]"
"Gabon","211.9 [101.7-390.3]","223.5 [109.5-412.9]","236.2 [119.6-422.3]","253.3 [129.5-448.2]","265.4 [137.1-462.6]","264.6 [137.0-462.9]","250.8 [132.1-436.4]","220.6 [119.5-373.2]","185.3 [95.6-317.0]","153.8 [77.0-278.9]","127.4 [64.4-226.9]","109.3 [60.6-181.8]","107.9 [66.6-166.4]","121.7 [79.0-178.3]","143.8 [94.9-210.7]","175.8 [112.3-262.2]","229.6 [145.5-346.2]","274.8 [173.9-411.4]","306.9 [194.8-461.8]","324.5 [207.6-484.4]"
"Gambia","50.5 [37.1-65.2]","84.6 [61.8-108.8]","64.2 [47.9-82.2]","131.8 [100.0-166.6]","212.1 [163.0-266.1]","147.5 [115.1-182.8]","235.4 [185.4-291.3]","263.3 [210.5-320.2]","251.5 [203.4-305.2]","249.9 [195.7-309.5]","257.6 [202.8-320.6]","265.5 [208.4-330.3]","273.5 [215.9-339.1]","281.8 [221.2-351.3]","290.3 [228.7-362.1]","299.2 [234.5-371.5]","308.4 [241.4-386.2]","318.2 [248.5-395.2]","328.4 [257.3-408.1]","339.0 [267.1-421.9]"
"Georgia","0","0","0","0","0","0","0","0","0","0","0.024","0.145","0.576","1.408","3.682","6.082","7.455","11.131","10.193","5.617"
"Ghana","161.5 [111.2-227.2]","171.7 [121.2-234.5]","200.9 [145.6-267.1]","237.5 [178.0-308.2]","275.8 [213.5-350.1]","310.8 [246.6-387.5]","341.5 [276.4-418.3]","366.1 [298.3-443.5]","376.2 [306.1-453.0]","371.7 [303.9-452.0]","359.7 [292.0-434.4]","342.2 [277.5-416.9]","328.6 [263.2-404.8]","328.0 [259.7-408.3]","336.4 [266.6-417.9]","352.3 [281.0-437.9]","370.9 [296.0-459.0]","391.2 [311.3-484.5]","419.9 [336.0-520.3]","435.2 [344.6-540.5]"
"Guatemala","0.2 [0.2-0.2]","0.3 [0.2-0.3]","0.3 [0.3-0.4]","0.5 [0.4-0.5]","0.7 [0.6-0.7]","0.6 [0.5-0.6]","0.6 [0.6-0.7]","0.5 [0.5-0.6]","0.7 [0.6-0.8]","0.9 [0.7-1.1]","0.8 [0.7-0.9]","0.8 [0.7-0.9]","1.7 [1.5-2.0]","3.6 [3.2-4.3]","4.7 [4.1-5.6]","3.5 [3.1-4.1]","3.9 [3.4-4.6]","4.6 [4.0-5.4]","4.7 [4.1-5.7]","7.2 [6.4-8.6]"
"Guinea","296.9 [199.0-432.2]","313.0 [214.2-438.5]","321.3 [229.6-436.6]","339.9 [253.1-447.1]","373.2 [284.7-479.8]","397.8 [312.3-500.4]","419.7 [341.6-511.3]","433.8 [357.9-521.7]","425.7 [343.1-522.0]","406.6 [318.7-510.2]","383.1 [290.7-494.9]","354.7 [256.6-477.1]","334.2 [223.9-479.6]","329.6 [211.7-483.7]","338.0 [218.2-500.6]","362.7 [244.1-524.2]","397.2 [266.0-574.7]","420.5 [279.6-607.6]","442.6 [295.4-642.1]","449.7 [304.0-643.5]"
"Guinea-Bissau","86.9 [27.1-215.0]","81.4 [28.3-192.1]","76.1 [30.1-165.2]","84.3 [36.5-173.4]","94.5 [40.3-185.9]","108.3 [47.9-210.3]","123.3 [60.7-226.3]","126.8 [69.8-214.3]","131.5 [78.1-212.4]","125.6 [77.5-193.1]","106.4 [71.4-149.6]","87.5 [64.3-116.8]","75.2 [48.9-111.9]","77.5 [45.0-127.8]","95.5 [52.8-160.6]","128.9 [67.8-225.4]","199.8 [102.9-351.4]","274.0 [140.3-480.7]","348.4 [180.1-612.0]","417.8 [218.1-725.9]"
